week,next_week,predicted_momentum,precision_momentum,predicted_baseline,precision_baseline,actual_top_5
2024-04-01,2024-04-08,Health & Medicine;UK Politics;UCL & Campus;Art & Culture;Climate & Environment,0.4,Health & Medicine;UCL & Campus;UK Politics;Art & Culture;Climate & Environment,0.4,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-04-08,2024-04-15,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-04-15,2024-04-22,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-04-22,2024-04-29,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-04-29,2024-05-06,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-05-06,2024-05-13,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-05-13,2024-05-20,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,0.8,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,0.8,UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance;Education
2024-05-20,2024-05-27,UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance;Education,0.8,UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance;Education,0.8,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-05-27,2024-06-03,UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance;Education,0.8,UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance;Education,0.8,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-06-03,2024-06-10,UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance;Education,0.8,UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance;Education,0.8,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-06-10,2024-06-17,UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance;Education,0.8,UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance;Education,0.8,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-06-17,2024-06-24,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-06-24,2024-07-01,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-07-01,2024-07-08,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-07-08,2024-07-15,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-07-15,2024-07-22,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-07-22,2024-07-29,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-07-29,2024-08-05,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-08-05,2024-08-12,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-08-12,2024-08-19,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-08-19,2024-08-26,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-08-26,2024-09-02,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-09-02,2024-09-09,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-09-09,2024-09-16,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-09-16,2024-09-23,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-09-23,2024-09-30,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-09-30,2024-10-07,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,0.8,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,0.8,UK Politics;Art & Culture;Climate & Environment;Economics & Finance;Education
2024-10-07,2024-10-14,UK Politics;Art & Culture;Climate & Environment;Economics & Finance;Education,0.8,UK Politics;Art & Culture;Climate & Environment;Economics & Finance;Education,0.8,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-10-14,2024-10-21,UK Politics;Art & Culture;Climate & Environment;Economics & Finance;Education,0.8,UK Politics;Art & Culture;Climate & Environment;Economics & Finance;Education,0.8,US & International Politics;Art & Culture;Climate & Environment;Economics & Finance;Education
2024-10-21,2024-10-28,UK Politics;US & International Politics;Art & Culture;Climate & Environment;Economics & Finance,1.0,UK Politics;US & International Politics;Art & Culture;Climate & Environment;Economics & Finance,1.0,UK Politics;US & International Politics;Art & Culture;Climate & Environment;Economics & Finance
2024-10-28,2024-11-04,UK Politics;US & International Politics;Art & Culture;Climate & Environment;Economics & Finance,0.6,UK Politics;US & International Politics;Art & Culture;Climate & Environment;Economics & Finance,0.6,Climate & Environment;Economics & Finance;Global Affairs & Geopolitics;Art & Culture;Education
2024-11-04,2024-11-11,US & International Politics;Climate & Environment;Economics & Finance;Global Affairs & Geopolitics;UK Politics,0.6,UK Politics;US & International Politics;Climate & Environment;Economics & Finance;Global Affairs & Geopolitics,0.6,UK Politics;Art & Culture;Climate & Environment;Economics & Finance;Education
2024-11-11,2024-11-18,US & International Politics;Climate & Environment;Economics & Finance;Global Affairs & Geopolitics;UK Politics,0.6,UK Politics;US & International Politics;Climate & Environment;Economics & Finance;Global Affairs & Geopolitics,0.6,Climate & Environment;US & International Politics;Art & Culture;Economics & Finance;Education
2024-11-18,2024-11-25,Climate & Environment;Economics & Finance;Global Affairs & Geopolitics;UK Politics;US & International Politics,0.6,UK Politics;Climate & Environment;US & International Politics;Economics & Finance;Global Affairs & Geopolitics,0.6,Global Affairs & Geopolitics;US & International Politics;Economics & Finance;Health & Medicine;Science & Technology
2024-11-25,2024-12-02,Global Affairs & Geopolitics;Climate & Environment;Economics & Finance;Health & Medicine;Science & Technology,0.4,Global Affairs & Geopolitics;US & International Politics;Climate & Environment;Economics & Finance;UK Politics,0.4,Art & Culture;Theatre & Visual Arts;UCL & Campus;Climate & Environment;Economics & Finance
2024-12-02,2024-12-09,Art & Culture;Health & Medicine;Science & Technology;Theatre & Visual Arts;UCL & Campus,0.4,US & International Politics;Global Affairs & Geopolitics;UK Politics;Art & Culture;Climate & Environment,0.4,Education;Science & Technology;Society & Identity;Art & Culture;Climate & Environment
2024-12-09,2024-12-16,Science & Technology;Art & Culture;Education;Health & Medicine;Society & Identity,0.4,US & International Politics;Global Affairs & Geopolitics;Science & Technology;Art & Culture;Climate & Environment,0.4,Health & Medicine;UK Politics;Art & Culture;Climate & Environment;Economics & Finance
2024-12-16,2024-12-23,Health & Medicine;Science & Technology;Art & Culture;Education;Society & Identity,0.4,Global Affairs & Geopolitics;Health & Medicine;Science & Technology;UK Politics;US & International Politics,0.6,Global Affairs & Geopolitics;Health & Medicine;Middle East & Global Conflict;US & International Politics;Art & Culture
2024-12-23,2024-12-30,Art & Culture;Education;Middle East & Global Conflict;Society & Identity;Theatre & Visual Arts,0.4,Health & Medicine;Art & Culture;Education;Global Affairs & Geopolitics;Middle East & Global Conflict,0.4,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2024-12-30,2025-01-06,Education;Middle East & Global Conflict;Society & Identity;Health & Medicine;Science & Technology,0.2,Health & Medicine;Education;Global Affairs & Geopolitics;Middle East & Global Conflict;Science & Technology,0.2,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-01-06,2025-01-13,Middle East & Global Conflict;Health & Medicine;Global Affairs & Geopolitics;UK Politics;US & International Politics,0.2,Health & Medicine;Global Affairs & Geopolitics;Middle East & Global Conflict;UK Politics;US & International Politics,0.2,Climate & Environment;US & International Politics;Art & Culture;Economics & Finance;Education
2025-01-13,2025-01-20,Middle East & Global Conflict;US & International Politics;Climate & Environment;Health & Medicine;Global Affairs & Geopolitics,0.2,US & International Politics;Climate & Environment;Global Affairs & Geopolitics;Health & Medicine;Middle East & Global Conflict,0.2,UCL & Campus;UK Politics;Art & Culture;Climate & Environment;Economics & Finance
2025-01-20,2025-01-27,UCL & Campus;Climate & Environment;UK Politics;US & International Politics;Art & Culture,0.4,Climate & Environment;UCL & Campus;UK Politics;US & International Politics;Art & Culture,0.4,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-01-27,2025-02-03,Climate & Environment;UCL & Campus;UK Politics;US & International Politics;Art & Culture,0.4,Climate & Environment;UCL & Campus;UK Politics;US & International Politics;Art & Culture,0.4,Climate & Environment;Theatre & Visual Arts;Art & Culture;Economics & Finance;Education
2025-02-03,2025-02-10,Climate & Environment;Theatre & Visual Arts;UCL & Campus;UK Politics;US & International Politics,0.4,Climate & Environment;Theatre & Visual Arts;UCL & Campus;UK Politics;US & International Politics,0.4,UCL & Campus;Art & Culture;Education;Climate & Environment;Economics & Finance
2025-02-10,2025-02-17,UCL & Campus;Art & Culture;Climate & Environment;Education;Theatre & Visual Arts,0.6,UCL & Campus;Art & Culture;Climate & Environment;Education;Theatre & Visual Arts,0.6,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-02-17,2025-02-24,UCL & Campus;Art & Culture;Climate & Environment;Education;Theatre & Visual Arts,0.6,UCL & Campus;Art & Culture;Climate & Environment;Education;Theatre & Visual Arts,0.6,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-02-24,2025-03-03,Art & Culture;Theatre & Visual Arts;UCL & Campus;Climate & Environment;Education,0.6,UCL & Campus;Art & Culture;Climate & Environment;Education;Theatre & Visual Arts,0.6,UCL & Campus;Climate & Environment;Health & Medicine;Society & Identity;Theatre & Visual Arts
2025-03-03,2025-03-10,Art & Culture;Education;Society & Identity;UCL & Campus;Climate & Environment,0.4,UCL & Campus;Climate & Environment;Art & Culture;Education;Health & Medicine,0.6,Health & Medicine;Science & Technology;Art & Culture;Climate & Environment;Economics & Finance
2025-03-10,2025-03-17,Science & Technology;Society & Identity;Health & Medicine;UCL & Campus;Climate & Environment,0.4,UCL & Campus;Climate & Environment;Health & Medicine;Science & Technology;Society & Identity,0.4,Climate & Environment;UCL & Campus;US & International Politics;Art & Culture;Economics & Finance
2025-03-17,2025-03-24,Health & Medicine;Science & Technology;Society & Identity;Climate & Environment;UCL & Campus,0.4,UCL & Campus;Climate & Environment;Health & Medicine;Science & Technology;Society & Identity,0.4,UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance;Education
2025-03-24,2025-03-31,Health & Medicine;Science & Technology;Society & Identity;UCL & Campus;Climate & Environment,0.2,UCL & Campus;Climate & Environment;Health & Medicine;Science & Technology;Society & Identity,0.2,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-03-31,2025-04-07,Science & Technology;Health & Medicine;US & International Politics;UCL & Campus;Climate & Environment,0.2,UCL & Campus;Climate & Environment;Health & Medicine;Science & Technology;US & International Politics,0.2,Sport & Varsity;Art & Culture;Climate & Environment;Economics & Finance;Education
2025-04-07,2025-04-14,Sport & Varsity;US & International Politics;UCL & Campus;Climate & Environment;Art & Culture,0.4,Sport & Varsity;UCL & Campus;Climate & Environment;US & International Politics;Art & Culture,0.4,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-04-14,2025-04-21,Sport & Varsity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance,0.6,Sport & Varsity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance,0.6,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-04-21,2025-04-28,Sport & Varsity;Art & Culture;Climate & Environment;Economics & Finance;Education,0.8,Sport & Varsity;Art & Culture;Climate & Environment;Economics & Finance;Education,0.8,Sport & Varsity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance
2025-04-28,2025-05-05,Sport & Varsity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance,0.6,Sport & Varsity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance,0.6,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-05-05,2025-05-12,Sport & Varsity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance,0.6,Sport & Varsity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance,0.6,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-05-12,2025-05-19,Sport & Varsity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance,0.6,Sport & Varsity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance,0.6,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-05-19,2025-05-26,Sport & Varsity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance,0.6,Sport & Varsity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance,0.6,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-05-26,2025-06-02,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-06-02,2025-06-09,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,0.6,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,0.6,Society & Identity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance
2025-06-09,2025-06-16,Society & Identity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance,0.6,Society & Identity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance,0.6,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-06-16,2025-06-23,Society & Identity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance,0.6,Society & Identity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance,0.6,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-06-23,2025-06-30,Society & Identity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance,0.6,Society & Identity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance,0.6,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-06-30,2025-07-07,Society & Identity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance,0.6,Society & Identity;UCL & Campus;Art & Culture;Climate & Environment;Economics & Finance,0.6,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-07-07,2025-07-14,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-07-14,2025-07-21,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-07-21,2025-07-28,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-07-28,2025-08-04,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-08-04,2025-08-11,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-08-11,2025-08-18,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-08-18,2025-08-25,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-08-25,2025-09-01,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-09-01,2025-09-08,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-09-08,2025-09-15,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-09-15,2025-09-22,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-09-22,2025-09-29,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-09-29,2025-10-06,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-10-06,2025-10-13,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-10-13,2025-10-20,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-10-20,2025-10-27,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
2025-10-27,2025-11-03,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television,1.0,Art & Culture;Climate & Environment;Economics & Finance;Education;Film & Television
